datetime,year,month,day,hour,minute,price_eur_per_mwh
2025-09-01T02:00:00.000+02:00,2025,9,1,2,0,88.55
2025-09-01T03:00:00.000+02:00,2025,9,1,3,0,85.59
2025-09-01T04:00:00.000+02:00,2025,9,1,4,0,82.97
2025-09-01T05:00:00.000+02:00,2025,9,1,5,0,91.83
2025-09-01T06:00:00.000+02:00,2025,9,1,6,0,99.28
2025-09-01T07:00:00.000+02:00,2025,9,1,7,0,121.32
2025-09-01T08:00:00.000+02:00,2025,9,1,8,0,152.48
2025-09-01T09:00:00.000+02:00,2025,9,1,9,0,118.83
2025-09-01T10:00:00.000+02:00,2025,9,1,10,0,155.09
2025-09-01T11:00:00.000+02:00,2025,9,1,11,0,151.67
2025-09-01T12:00:00.000+02:00,2025,9,1,12,0,151.44
2025-09-01T13:00:00.000+02:00,2025,9,1,13,0,148.66
2025-09-01T14:00:00.000+02:00,2025,9,1,14,0,83.55
2025-09-01T15:00:00.000+02:00,2025,9,1,15,0,84.43
2025-09-01T16:00:00.000+02:00,2025,9,1,16,0,82.94
2025-09-01T17:00:00.000+02:00,2025,9,1,17,0,82.91
2025-09-01T18:00:00.000+02:00,2025,9,1,18,0,154.74
2025-09-01T19:00:00.000+02:00,2025,9,1,19,0,209.71
2025-09-01T20:00:00.000+02:00,2025,9,1,20,0,233.13
2025-09-01T21:00:00.000+02:00,2025,9,1,21,0,251.83
2025-09-01T22:00:00.000+02:00,2025,9,1,22,0,179.43
2025-09-01T23:00:00.000+02:00,2025,9,1,23,0,168.25
2025-09-02T00:00:00.000+02:00,2025,9,2,0,0,146.93
2025-09-02T01:00:00.000+02:00,2025,9,2,1,0,142.03
2025-09-02T02:00:00.000+02:00,2025,9,2,2,0,137.94
2025-09-02T03:00:00.000+02:00,2025,9,2,3,0,128.11
2025-09-02T04:00:00.000+02:00,2025,9,2,4,0,126.43
2025-09-02T05:00:00.000+02:00,2025,9,2,5,0,126.16
2025-09-02T06:00:00.000+02:00,2025,9,2,6,0,131.53
2025-09-02T07:00:00.000+02:00,2025,9,2,7,0,145.98
2025-09-02T08:00:00.000+02:00,2025,9,2,8,0,169.98
2025-09-02T09:00:00.000+02:00,2025,9,2,9,0,105.15
2025-09-02T10:00:00.000+02:00,2025,9,2,10,0,135.13
2025-09-02T11:00:00.000+02:00,2025,9,2,11,0,127.1
2025-09-02T12:00:00.000+02:00,2025,9,2,12,0,128.96
2025-09-02T13:00:00.000+02:00,2025,9,2,13,0,125.31
2025-09-02T14:00:00.000+02:00,2025,9,2,14,0,59.86
2025-09-02T15:00:00.000+02:00,2025,9,2,15,0,62.04
2025-09-02T16:00:00.000+02:00,2025,9,2,16,0,62.91
2025-09-02T17:00:00.000+02:00,2025,9,2,17,0,75.53
2025-09-02T18:00:00.000+02:00,2025,9,2,18,0,163.26
2025-09-02T19:00:00.000+02:00,2025,9,2,19,0,228.26
2025-09-02T20:00:00.000+02:00,2025,9,2,20,0,278.15
2025-09-02T21:00:00.000+02:00,2025,9,2,21,0,300.63
2025-09-02T22:00:00.000+02:00,2025,9,2,22,0,186.35
2025-09-02T23:00:00.000+02:00,2025,9,2,23,0,174.02
2025-09-03T00:00:00.000+02:00,2025,9,3,0,0,153.45
2025-09-03T01:00:00.000+02:00,2025,9,3,1,0,143.4
2025-09-03T02:00:00.000+02:00,2025,9,3,2,0,135.01
2025-09-03T03:00:00.000+02:00,2025,9,3,3,0,127.97
2025-09-03T04:00:00.000+02:00,2025,9,3,4,0,123.3
2025-09-03T05:00:00.000+02:00,2025,9,3,5,0,122.74
2025-09-03T06:00:00.000+02:00,2025,9,3,6,0,132.55
2025-09-03T07:00:00.000+02:00,2025,9,3,7,0,142.83
2025-09-03T08:00:00.000+02:00,2025,9,3,8,0,154.84
2025-09-03T09:00:00.000+02:00,2025,9,3,9,0,84.1
2025-09-03T10:00:00.000+02:00,2025,9,3,10,0,125.68
2025-09-03T11:00:00.000+02:00,2025,9,3,11,0,127.83
2025-09-03T12:00:00.000+02:00,2025,9,3,12,0,127.88
2025-09-03T13:00:00.000+02:00,2025,9,3,13,0,124.85
2025-09-03T14:00:00.000+02:00,2025,9,3,14,0,59.89
2025-09-03T15:00:00.000+02:00,2025,9,3,15,0,60.28
2025-09-03T16:00:00.000+02:00,2025,9,3,16,0,60.58
2025-09-03T17:00:00.000+02:00,2025,9,3,17,0,59.51
2025-09-03T18:00:00.000+02:00,2025,9,3,18,0,143.11
2025-09-03T19:00:00.000+02:00,2025,9,3,19,0,207.47
2025-09-03T20:00:00.000+02:00,2025,9,3,20,0,240.11
2025-09-03T21:00:00.000+02:00,2025,9,3,21,0,273.5
2025-09-03T22:00:00.000+02:00,2025,9,3,22,0,180.41
2025-09-03T23:00:00.000+02:00,2025,9,3,23,0,175.2
2025-09-04T00:00:00.000+02:00,2025,9,4,0,0,140.6
2025-09-04T01:00:00.000+02:00,2025,9,4,1,0,135.73
2025-09-04T02:00:00.000+02:00,2025,9,4,2,0,132.1
2025-09-04T03:00:00.000+02:00,2025,9,4,3,0,121.35
2025-09-04T04:00:00.000+02:00,2025,9,4,4,0,119.48
2025-09-04T05:00:00.000+02:00,2025,9,4,5,0,119.78
