PVSYST 8.0.11,,,,,,
,File,File date,Description,,,
Project,CLIPPING EXAMPLE_Project.PRJ,14/05/25 16h55,CLIPPING EXAMPLE,,,
Geographical Site,Granada/Romilla,14/05/25 16h55,Granada/Romilla;Spain;Europe;,,,
Weather data,Granada_Romilla_MN82_SYN.MET,12/05/25 13h52,Granada/Romilla;MeteoNorm 8.2 station;Synthetic,,,
Simulation variant,CLIPPING EXAMPLE_Project.VC1,14/05/25 16h56,New simulation variant,,,
Simulation date,,14/05/25 17h02,,,,
,,,,,,
Simulation:,Hourly values, from 01/01/90, to 31/12/90 ,,,
,,,,,,
date,E_Grid,EArray,IL_Pmin,IL_Pmax,EArrMPP,EArrNom
    ,kW,kW,kW,kW,kW,kW
,,,,,,
1/1/1990 0:00,0,0,0,0,0,0
1/1/1990 1:00,0,0,0,0,0,0
1/1/1990 2:00,0,0,0,0,0,0
1/1/1990 3:00,0,0,0,0,0,0
1/1/1990 4:00,0,0,0,0,0,0
1/1/1990 5:00,0,0,0,0,0,0
1/1/1990 6:00,0,0,0,0,0,0
1/1/1990 7:00,0,0,0,0,0,0
1/1/1990 8:00,0,0,0,0,0,0
1/1/1990 9:00,877.65,903.02,0,0,903.02,982.9
1/1/1990 10:00,1262.9,1291.8,0,0,1291.8,1376.3
1/1/1990 11:00,2132.3,2169.3,0,0,2169.3,2257
1/1/1990 12:00,2655.1,2696.8,0,0,2696.8,2787.2
1/1/1990 13:00,2710.5,2752.7,0,0,2752.7,2845.8
1/1/1990 14:00,1357.4,1387.2,0,0,1387.2,1479.1
1/1/1990 15:00,881,906.41,0,0,906.41,992.83
1/1/1990 16:00,771.3,795.7,0,0,795.7,879.33
1/1/1990 17:00,116.09,153.6,0,0,153.6,210.97
1/1/1990 18:00,0,0,0,0,0,0
1/1/1990 19:00,0,0,0,0,0,0
1/1/1990 20:00,0,0,0,0,0,0
1/1/1990 21:00,0,0,0,0,0,0
1/1/1990 22:00,0,0,0,0,0,0
1/1/1990 23:00,0,0,0,0,0,0
2/1/1990 0:00,0,0,0,0,0,0
2/1/1990 1:00,0,0,0,0,0,0
2/1/1990 2:00,0,0,0,0,0,0
2/1/1990 3:00,0,0,0,0,0,0
2/1/1990 4:00,0,0,0,0,0,0
2/1/1990 5:00,0,0,0,0,0,0
2/1/1990 6:00,0,0,0,0,0,0
2/1/1990 7:00,0,0,0,0,0,0
2/1/1990 8:00,0,0,0,0,0,0
