PVSYST 8.0.11
,File,File date,Description
Project,CLIPPING EXAMPLE_Project.PRJ,14/05/25 16h55,CLIPPING EXAMPLE,
Geographical Site,Granada/Romilla,14/05/25 16h55,Granada/Romilla;Spain;Europe;,
Weather data,Granada_Romilla_MN82_SYN.MET,12/05/25 13h52,Granada/Romilla;MeteoNorm 8.2 station;Synthetic,
Simulation variant,CLIPPING EXAMPLE_Project.VC3,14/05/25 17h16,New simulation variant,
Simulation date,,14/05/25 17h19

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,E_Grid,IL_Pmax,EArrMPP
    ,kW,kW,kW

01/01/90 00:00,0,0,0
01/01/90 01:00,0,0,0
01/01/90 02:00,0,0,0
01/01/90 03:00,0,0,0
01/01/90 04:00,0,0,0
01/01/90 05:00,0,0,0
01/01/90 06:00,0,0,0
01/01/90 07:00,0,0,0
01/01/90 08:00,0,0,0
01/01/90 09:00,519.93,0,542.01
01/01/90 10:00,751.83,0,776.05
01/01/90 11:00,1273.9,0,1302.9
01/01/90 12:00,1586.9,0,1618.8
01/01/90 13:00,1619.9,0,1652.1
01/01/90 14:00,808.31,0,833.04
01/01/90 15:00,522.8,0,544.91
01/01/90 16:00,456.32,0,477.82
01/01/90 17:00,47.28,0,92.195
01/01/90 18:00,0,0,0
01/01/90 19:00,0,0,0
01/01/90 20:00,0,0,0
01/01/90 21:00,0,0,0
01/01/90 22:00,0,0,0
01/01/90 23:00,0,0,0
02/01/90 00:00,0,0,0
02/01/90 01:00,0,0,0
02/01/90 02:00,0,0,0
02/01/90 03:00,0,0,0
02/01/90 04:00,0,0,0
02/01/90 05:00,0,0,0
02/01/90 06:00,0,0,0
02/01/90 07:00,0,0,0
02/01/90 08:00,0,0,0
02/01/90 09:00,715.82,0,739.7
02/01/90 10:00,2257.4,0,2295.5
02/01/90 11:00,5344.9,0,5411.4
02/01/90 12:00,6922.5,0,7006.4
02/01/90 13:00,5641,0,5710.3
02/01/90 14:00,931.74,0,957.62
02/01/90 15:00,165.38,0,197.59
02/01/90 16:00,114.59,0,152.26
02/01/90 17:00,0,0,0
02/01/90 18:00,0,0,0
02/01/90 19:00,0,0,0
02/01/90 20:00,0,0,0
02/01/90 21:00,0,0,0
02/01/90 22:00,0,0,0
02/01/90 23:00,0,0,0
03/01/90 00:00,0,0,0
03/01/90 01:00,0,0,0
03/01/90 02:00,0,0,0
03/01/90 03:00,0,0,0
03/01/90 04:00,0,0,0
